s.no,level,label,New label,Name in tooltip,New S.no,type,description,category,division
84,L2,L2_SLL,L2_SLL,Service Lift,37,Vertical_Street,lift,vertical,service
85,L2,L2_SLL_corridor,L2_SLL,Service Lift,,Corridor,walk,horizontal,community
86,L3,L3_CLL,L3_CLL,Main Lift Lobby,38,Vertical_Street,lift,vertical,community
87,L4,L4_CLL,L4_CLL,Main Lift Lobby,,Vertical_Street,lift,vertical,community
88,L4,L4_R1_LL,L4_R1_LL,Residential Lift Lobby 1,39,Vertical_Street,lift,vertical,residential
89,L4,L4_R1_LL_corridor,L4_R1_LL,Residential Lift Lobby 1,,Residential_Street,walk,horizontal,residential
90,L4,L4_R1_deck,L4_R1_garden,Garden near Residential Lift Lobby 1,40,Social_Space,garden,open,residential
91,L4,L4_R1_garden,L4_R1_garden,Garden near Residential Lift Lobby 1,,Garden_Street,garden,open,residential
92,L4,L4_R2_LL,L4_R2_LL,Residential Lift Lobby 2,41,Vertical_Street,lift,vertical,residential
93,L4,L4_R2_LL_corridor,L4_R2_LL,Residential Lift Lobby 2,,Residential_Street,walk,horizontal,residential
